,mobile_name,rating,RAM_and_ROM,size,cemera,battery,processor,price,discount,mobile_link,delevery_type,mobile_pic
0,"<div class=""KzDlHZ"">vivo T3 Pro 5G (Emerald Green, 128 GB)</div>","<div class=""XQDdHH"">4.5<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">8 GB RAM | 128 GB ROM</li>","<li class=""J+igdf"">17.2 cm (6.77 inch) Full HD+ AMOLED Display</li>","<li class=""J+igdf"">50MP + 8MP | 16MP Front Camera</li>","<li class=""J+igdf"">5500 mAh Battery</li>","<li class=""J+igdf"">Snapdragon 7 Gen 3 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹24,999</div>",<span>16% off</span>,/vivo-t3-pro-5g-emerald-green-128-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRHBUB7Y7U&lid=LSTMOBH3XHRHBUB7Y7U1LMK2U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=en_OwF8QOfkRF4EH_uPUym7NqxYoUAV2sRYVVCUF4PeW7EJw9kIwlVnw8LNU5IiKyvWiAXj_L1hK3hz0qLoJ-S-o_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/4/7/-original-imah44yrqjkpckgv.jpeg?q=70
1,"<div class=""KzDlHZ"">Tecno Spark 20 Pro 5G (Startrail Black, 256 GB)</div>","<div class=""XQDdHH"">3.8<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">8 GB RAM | 256 GB ROM</li>","<li class=""J+igdf"">17.22 cm (6.78 inch) HD+ Display</li>","<li class=""J+igdf"">108MP Rear Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">D6080 5G Processor Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹16,999</div>",<span>22% off</span>,/tecno-spark-20-pro-5g-startrail-black-256-gb/p/itm6bc9c27f4650d?pid=MOBHFXHEXTY94ATB&lid=LSTMOBHFXHEXTY94ATB57SB1X&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=en_OwF8QOfkRF4EH_uPUym7NqxYoUAV2sRYVVCUF4PeW7FR9vcQPZyVhKeLmZHRzXTM8PmO0MW6RxlAQzjaLQKDPg%3D%3D&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/g/g/spark-20-pro-5g-kj8-tecno-original-imah2kp2bugyhygh.jpeg?q=70
2,"<div class=""KzDlHZ"">POCO C65 (Pastel Green, 128 GB)</div>","<div class=""XQDdHH"">4.3<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹6,999</div>",<span>36% off</span>,/poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGXTV9GCTRG3NV.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/1/p/-original-imagy2v5kfnq97xn.jpeg?q=70
3,"<div class=""KzDlHZ"">REDMI 13C (Starshine Green, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹7,699</div>",<span>35% off</span>,/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGW4HKUXHFDYU2.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/6/r/-original-imahfk4xenbzxwrh.jpeg?q=70
4,"<div class=""KzDlHZ"">itel Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Charging</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">32 MB RAM | 32 MB ROM | Expandable Upto 32 GB</li>","<li class=""J+igdf"">6.1 cm (2.4 inch) Display</li>","<li class=""J+igdf"">0.8MP Rear Camera</li>","<li class=""J+igdf"">2500 mAh Battery</li>","<li class=""J+igdf"">1 year manufacturer Warranty</li>","<div class=""Nx9bqj _4b5DiR"">₹1,440</div>",<span>24% off</span>,/itel-power-450-2-4-inch-big-display-2500-mah-battery-type-c-charging/p/itm9d07979887855?pid=MOBGX9S2ZBF37WFF&lid=LSTMOBGX9S2ZBF37WFFEQKCUX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=en_OwF8QOfkRF4EH_uPUym7NqxYoUAV2sRYVVCUF4PeW7EuZOME5CnNz1QyS8fpysCviIltXidZcP107wzr78vZJg%3D%3D&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/7/m/power-450-2-4-inch-big-display-2500-mah-battery-type-c-charging-original-imahfs2qqdfutufm.jpeg?q=70
5,"<div class=""KzDlHZ"">itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice</div>","<div class=""XQDdHH"">4<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 MB RAM | 4 MB ROM | Expandable Upto 32 GB</li>","<li class=""J+igdf"">5.08 cm (2 inch) QVGA Display</li>","<li class=""J+igdf"">0.8MP + 0MP</li>","<li class=""J+igdf"">1200 mAh Battery</li>","<li class=""J+igdf"">SC6531E Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹1,019</div>",<span>32% off</span>,/itel-it2175-pro-2-inch-big-display-1200-mah-battery-kingvoice/p/itm793dbdfde4d37?pid=MOBGUTYZA7QZTTUR&lid=LSTMOBGUTYZA7QZTTURR7KKTE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=en_OwF8QOfkRF4EH_uPUym7NqxYoUAV2sRYVVCUF4PeW7E8Op5VUvALAdZO48pwMFphu_72zelBtip7QvHQyqYCOw%3D%3D&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/d/it2175-pro-2-inch-big-display-1200-mah-battery-kingvoice-it2175p-original-imahfs2zmcndswjn.jpeg?q=70
6,"<div class=""KzDlHZ"">vivo T3 Lite 5G (Vibrant Green, 128 GB)</div>","<div class=""XQDdHH"">4.4<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">16.66 cm (6.56 inch) Display</li>","<li class=""J+igdf"">50MP + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Dimensity 6300 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹10,499</div>",<span>27% off</span>,/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBGJ7RW9ZQ&lid=LSTMOBHFTYBGJ7RW9ZQRJTON0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBHFTYBGJ7RW9ZQ.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/r/t3-lite-5g-v2356-vivo-original-imah27wmfgkergtx.jpeg?q=70
7,"<div class=""KzDlHZ"">POCO C61  - Locked with Airtel Prepaid (Mystical Green, 64 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.04 cm (6.71 inch) HD+ Display</li>","<li class=""J+igdf"">8MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G36 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹5,999</div>",<span>33% off</span>,/poco-c61-locked-airtel-prepaid-mystical-green-64-gb/p/itmb573691797f80?pid=MOBH2N3FTMWGUJM8&lid=LSTMOBH2N3FTMWGUJM8WHMPCR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBH2N3FTMWGUJM8.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/n/9/-original-imah2qyrg2xryu8m.jpeg?q=70
8,"<div class=""KzDlHZ"">Vox V17</div>","<div class=""XQDdHH"">3.6<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">32 MB RAM | 32 MB ROM | Expandable Upto 8 GB</li>","<li class=""J+igdf"">4.57 cm (1.8 inch) Display</li>","<li class=""J+igdf"">0.3MP Rear Camera</li>","<li class=""J+igdf"">1000 mAh Battery</li>","<li class=""J+igdf"">One year manufacturers defects warranty</li>","<div class=""Nx9bqj _4b5DiR"">₹699</div>",<span>46% off</span>,/vox-v17/p/itmb85ee5222648b?pid=MOBHF866D5GZQK5S&lid=LSTMOBHF866D5GZQK5SKEOFQY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBHF866D5GZQK5S.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/5/y/v17-v17-vox-original-imah3xx9exxqcj2q.jpeg?q=70
9,"<div class=""KzDlHZ"">POCO C65 (Matte Black, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹7,499</div>",<span>37% off</span>,/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGVVTXBXRRZEUK.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/k/k/c65-mzb0g8rin-poco-original-imagw6gyhhu7hur5.jpeg?q=70
10,"<div class=""KzDlHZ"">POCO C65 (Pastel Blue, 128 GB)</div>","<div class=""XQDdHH"">4.3<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹6,999</div>",<span>36% off</span>,/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGVVTXZESSZY4W.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=70
